gene_name,gene_biotype,chromosome,strand,transcript_count
MIR200C,miRNA,chr12,+,1
MIR584,miRNA,chr5,-,1
MIR572,miRNA,chr4,+,1
MIR551B,miRNA,chr3,+,1
MIR623,miRNA,chr13,+,1
MIR186,miRNA,chr1,-,1
MIR520B,miRNA,chr19,+,1
MIR222,miRNA,chrX,-,1
MIR455,miRNA,chr9,+,1
MIR449B,miRNA,chr5,-,1
MIR556,miRNA,chr1,+,1
MIR200B,miRNA,chr1,+,1
MIR506,miRNA,chrX,-,1
MIR218-1,miRNA,chr4,+,1
MIR517A,miRNA,chr19,+,1
MIR520D,miRNA,chr19,+,1
MIR657,miRNA,chr17,-,1
MIR181B2,miRNA,chr9,+,1
MIR520C,miRNA,chr19,+,1
MIR218-2,miRNA,chr5,-,1
MIR590,miRNA,chr7,+,1
MIR487A,miRNA,chr14,+,1
MIR495,miRNA,chr14,+,1
MIR10B,miRNA,chr2,+,1
MIR575,miRNA,chr4,-,1
MIR299,miRNA,chr14,+,1
MIR553,miRNA,chr1,+,1
MIR199A1,miRNA,chr19,-,1
MIR487B,miRNA,chr14,+,1
MIR450A2,miRNA,chrX,-,1
MIR580,miRNA,chr5,-,1
MIR93,miRNA,chr7,-,1
MIR532,miRNA,chrX,+,1
MIR181A1,miRNA,chr1,-,1
MIR329-1,miRNA,chr14,+,1
MIR329-2,miRNA,chr14,+,1
MIR617,miRNA,chr12,-,1
MIR626,miRNA,chr15,+,1
MIR516A1,miRNA,chr19,+,1
MIR188,miRNA,chrX,+,1
MIR586,miRNA,chr6,-,1
MIR550A1,miRNA,chr7,+,1
MIR642A,miRNA,chr19,+,1
MIR548A1,miRNA,chr6,+,1
MIR551A,miRNA,chr1,-,1
MIR15B,miRNA,chr3,+,1
MIR648,miRNA,chr22,-,1
MIR625,miRNA,chr14,+,1
MIR150,miRNA,chr19,-,1
MIR542,miRNA,chrX,-,1
MIR500A,miRNA,chrX,+,1
MIR519C,miRNA,chr19,+,1
MIR26A2,miRNA,chr12,-,1
MIR187,miRNA,chr18,-,1
MIR216A,miRNA,chr2,-,1
MIR520G,miRNA,chr19,+,1
MIR504,miRNA,chrX,-,1
MIR646,miRNA,chr20,+,1
MIR518A1,miRNA,chr19,+,1
MIR599,miRNA,chr8,-,1
MIR483,miRNA,chr11,-,1
MIR95,miRNA,chr4,-,1
MIR27A,miRNA,chr19,-,1
MIR519E,miRNA,chr19,+,1
MIR34B,miRNA,chr11,+,1
MIR605,miRNA,chr10,+,1
MIR147A,miRNA,chr9,-,1
MIR563,miRNA,chr3,+,1
MIR124-2,miRNA,chr8,+,1
MIR105-2,miRNA,chrX,-,1
MIR545,miRNA,chrX,-,1
MIR640,miRNA,chr19,+,1
MIR519B,miRNA,chr19,+,1
MIR596,miRNA,chr8,+,1
MIR30A,miRNA,chr6,-,1
MIR517B,miRNA,chr19,+,1
MIR517C,miRNA,chr19,+,1
MIR33B,miRNA,chr17,-,1
MIR520H,miRNA,chr19,+,1
MIR518B,miRNA,chr19,+,1
MIR125B2,miRNA,chr21,+,1
MIR27B,miRNA,chr9,+,1
MIR514A2,miRNA,chrX,-,1
MIR514A3,miRNA,chrX,-,1
MIR514A1,miRNA,chrX,-,1
MIR498,miRNA,chr19,+,1
MIR221,miRNA,chrX,-,1
MIR513B,miRNA,chrX,-,1
MIR513A1,miRNA,chrX,-,1
MIR610,miRNA,chr11,+,1
MIR566,miRNA,chr3,+,1
MIR559,miRNA,chr2,+,1
MIR196A2,miRNA,chr12,+,1
MIR516B2,miRNA,chr19,+,1
MIR135A1,miRNA,chr3,-,1
MIR302A,miRNA,chr4,-,1
MIR603,miRNA,chr10,+,1
MIR577,miRNA,chr4,+,1
MIR33A,miRNA,chr22,+,1
MIR9-1,miRNA,chr1,-,1
MIR654,miRNA,chr14,+,1
MIR204,miRNA,chr9,-,1
MIR511,miRNA,chr10,+,1
MIR567,miRNA,chr3,+,1
MIR552,miRNA,chr1,-,1
MIR136,miRNA,chr14,+,1
MIR634,miRNA,chr17,+,1
MIR574,miRNA,chr4,+,1
MIR516B1,miRNA,chr19,+,1
MIR152,miRNA,chr17,-,1
MIR328,miRNA,chr16,-,1
MIR561,miRNA,chr2,+,1
MIR624,miRNA,chr14,-,1
MIR138-1,miRNA,chr3,+,1
MIR579,miRNA,chr5,-,1
MIR105-1,miRNA,chrX,-,1
MIR656,miRNA,chr14,+,1
MIR153-2,miRNA,chr7,-,1
MIR496,miRNA,chr14,+,1
MIR30C1,miRNA,chr1,+,1
MIR569,miRNA,chr3,-,1
MIR629,miRNA,chr15,-,1
MIR620,miRNA,chr12,-,1
MIR507,miRNA,chrX,-,1
MIR660,miRNA,chrX,+,1
MIR125B1,miRNA,chr11,-,1
MIR638,miRNA,chr19,+,1
MIR589,miRNA,chr7,-,1
MIR557,miRNA,chr1,+,1
MIR181B1,miRNA,chr1,-,1
MIR607,miRNA,chr10,-,1
MIR154,miRNA,chr14,+,1
MIR527,miRNA,chr19,+,1
MIR23A,miRNA,chr19,-,1
MIR519D,miRNA,chr19,+,1
MIR548B,miRNA,chr6,-,1
MIR613,miRNA,chr12,+,1
MIR513A2,miRNA,chrX,-,1
MIR518E,miRNA,chr19,+,1
MIR576,miRNA,chr4,+,1
MIR493,miRNA,chr14,+,1
MIR182,miRNA,chr7,-,1
MIR601,miRNA,chr9,-,1
MIR519A1,miRNA,chr19,+,1
MIR134,miRNA,chr14,+,1
MIR100,miRNA,chr11,-,1
MIR325,miRNA,chrX,-,1
MIR301A,miRNA,chr17,-,1
MIR644A,miRNA,chr20,+,1
MIR509-1,miRNA,chrX,-,1
MIR431,miRNA,chr14,+,1
MIR643,miRNA,chr19,+,1
MIR549A,miRNA,chr15,-,1
MIR323B,miRNA,chr14,+,1
MIR503,miRNA,chrX,-,1
MIR16-1,miRNA,chr13,-,1
MIR125A,miRNA,chr19,+,1
MIR130A,miRNA,chr11,+,1
MIRLET7F2,miRNA,chrX,-,1
MIR652,miRNA,chrX,+,1
MIR653,miRNA,chr7,-,1
MIR362,miRNA,chrX,+,1
MIR140,miRNA,chr16,+,1
MIR645,miRNA,chr20,+,1
MIR618,miRNA,chr12,-,1
MIR185,miRNA,chr22,+,1
MIR199A2,miRNA,chr1,-,1
MIR591,miRNA,chr7,-,1
MIR485,miRNA,chr14,+,1
MIR616,miRNA,chr12,-,1
MIR548A3,miRNA,chr8,-,1
MIR609,miRNA,chr10,-,1
MIR106B,miRNA,chr7,-,1
MIR320A,miRNA,chr8,-,1
MIR196A1,miRNA,chr17,-,1
MIR190A,miRNA,chr15,+,1
MIR320D1,miRNA,chr13,-,1
MIR320E,miRNA,chr19,-,1
MIR454,miRNA,chr17,-,1
MIR216B,miRNA,chr2,-,1
MIR526A2,miRNA,chr19,+,1
MIR501,miRNA,chrX,+,1
MIR320B1,miRNA,chr1,+,1
MIR3065,miRNA,chr17,+,1
MIR670,miRNA,chr11,+,1
MIR770,miRNA,chr14,+,1
MIR760,miRNA,chr1,+,1
MIR766,miRNA,chrX,-,1
MIR759,miRNA,chr13,+,1
MIR769,miRNA,chr19,+,1
MIR765,miRNA,chr1,-,1
MIR758,miRNA,chr14,+,1
MIR767,miRNA,chrX,-,1
MIR802,miRNA,chr21,+,1
MIR762,miRNA,chr16,+,1
MIR676,miRNA,chrX,+,1
MIR708,miRNA,chr11,-,1
MIR509-2,miRNA,chrX,-,1
MIR509-3,miRNA,chrX,-,1
MIR548U,miRNA,chr6,+,1
MIR550A3,miRNA,chr7,-,1
MIR374B,miRNA,chrX,-,1
MIR548BA,miRNA,chr2,+,1
MIR543,miRNA,chr14,+,1
MIR320C2,miRNA,chr18,+,1
MIR764,miRNA,chrX,+,1
MIR301B,miRNA,chr22,+,1
MIR942,miRNA,chr1,+,1
MIR190B,miRNA,chr1,-,1
MIR873,miRNA,chr9,-,1
MIR892A,miRNA,chrX,-,1
MIR921,miRNA,chr1,-,1
MIR300,miRNA,chr14,+,1
MIR297,miRNA,chr4,-,1
MIR876,miRNA,chr9,-,1
MIR933,miRNA,chr2,-,1
MIR208B,miRNA,chr14,-,1
MIR450B,miRNA,chrX,-,1
MIR888,miRNA,chrX,-,1
MIR874,miRNA,chr5,-,1
MIR298,miRNA,chr20,-,1
MIR938,miRNA,chr10,-,1
MIR891A,miRNA,chrX,-,1
MIR944,miRNA,chr3,+,1
MIR934,miRNA,chrX,+,1
MIR891B,miRNA,chrX,-,1
MIR875,miRNA,chr8,-,1
MIR890,miRNA,chrX,-,1
MIR887,miRNA,chr5,+,1
MIR892B,miRNA,chrX,-,1
MIR889,miRNA,chr14,+,1
MIR877,miRNA,chr6,+,1
MIR885,miRNA,chr3,-,1
MIR941-2,miRNA,chr20,+,1
MIR513C,miRNA,chrX,-,1
MIR541,miRNA,chr14,+,1
MIR8485,miRNA,chr2,-,1
MIR920,miRNA,chr12,+,1
MIR941-4,miRNA,chr20,+,1
MIR1323,miRNA,chr19,+,1
MIR1250,miRNA,chr17,-,1
MIR1231,miRNA,chr1,+,1
MIR1272,miRNA,chr15,-,1
MIR1193,miRNA,chr14,+,1
MIR1286,miRNA,chr22,-,1
MIR1266,miRNA,chr15,-,1
MIR1302-3,miRNA,chr2,-,1
MIR1296,miRNA,chr10,-,1
MIR1233-2,miRNA,chr15,-,1
MIR320D2,miRNA,chrX,-,1
MIR1302-5,miRNA,chr20,-,1
MIR1224,miRNA,chr3,+,1
MIR1207,miRNA,chr8,+,1
MIR1254-1,miRNA,chr10,+,1
MIR548M,miRNA,chrX,-,1
MIR1184-2,miRNA,chrX,-,1
MIR1253,miRNA,chr17,-,1
MIR1262,miRNA,chr1,-,1
MIR548E,miRNA,chr10,+,1
MIR1305,miRNA,chr4,+,1
MIR548L,miRNA,chr11,-,1
MIR1285-2,miRNA,chr2,-,1
MIR1258,miRNA,chr2,-,1
MIR1263,miRNA,chr3,-,1
MIR1208,miRNA,chr8,+,1
MIR548P,miRNA,chr5,-,1
MIR1284,miRNA,chr3,-,1
MIR1255A,miRNA,chr4,-,1
MIR1302-8,miRNA,chr9,-,1
MIR1237,miRNA,chr11,+,1
MIR548I2,miRNA,chr4,-,1
MIR1289-2,miRNA,chr5,-,1
MIR663B,miRNA,chr2,-,1
MIR548T,miRNA,chr4,+,1
MIR548I3,miRNA,chr8,-,1
MIR1200,miRNA,chr7,-,1
MIR548Q,miRNA,chr10,-,1
MIR548K,miRNA,chr11,+,1
MIR548F5,miRNA,chrX,-,1
MIR1288,miRNA,chr17,+,1
MIR1228,miRNA,chr12,+,1
MIR548G,miRNA,chr4,-,1
MIR1265,miRNA,chr10,+,1
MIR1295A,miRNA,chr1,-,1
MIR1302-6,miRNA,chr7,-,1
MIR1229,miRNA,chr5,-,1
MIR320B2,miRNA,chr1,-,1
MIR1238,miRNA,chr19,+,1
MIR1227,miRNA,chr19,-,1
MIR1283-1,miRNA,chr19,+,1
MIR1294,miRNA,chr5,+,1
MIR548F3,miRNA,chr5,-,1
MIR548F4,miRNA,chr7,-,1
MIR1301,miRNA,chr2,-,1
MIR1202,miRNA,chr6,+,1
MIR1277,miRNA,chrX,+,1
MIR1271,miRNA,chr5,+,1
MIR548AJ2,miRNA,chrX,-,1
MIR1827,miRNA,chr12,+,1
MIR1251,miRNA,chr12,+,1
MIR320C1,miRNA,chr18,+,1
MIR548I4,miRNA,chrX,-,1
MIR1245A,miRNA,chr2,+,1
MIR548O,miRNA,chr7,-,1
MIR1285-1,miRNA,chr7,-,1
MIR1185-1,miRNA,chr14,+,1
MIR1184-1,miRNA,chrX,-,1
MIR548H1,miRNA,chr14,-,1
MIR1180,miRNA,chr17,-,1
MIR1255B2,miRNA,chr1,+,1
MIR1283-2,miRNA,chr19,+,1
MIR1303,miRNA,chr5,+,1
MIR1269A,miRNA,chr4,+,1
MIR1226,miRNA,chr3,+,1
MIR1261,miRNA,chr11,-,1
MIR548F1,miRNA,chr10,-,1
MIR1249,miRNA,chr22,-,1
MIR1184-3,miRNA,chrX,+,1
MIR1293,miRNA,chr12,-,1
MIR1185-2,miRNA,chr14,+,1
MIR548H4,miRNA,chr8,-,1
MIR1302-4,miRNA,chr2,-,1
MIR1179,miRNA,chr15,+,1
MIR1276,miRNA,chr15,-,1
MIR1268A,miRNA,chr15,-,1
MIR1233-1,miRNA,chr15,-,1
MIR1267,miRNA,chr13,-,1
MIR1225,miRNA,chr16,-,1
MIR1290,miRNA,chr1,-,1
MIR548N,miRNA,chr7,-,1
MIR1278,miRNA,chr1,+,1
MIR1275,miRNA,chr6,-,1
MIR548H3,miRNA,chr17,-,1
MIR302E,miRNA,chr11,+,1
MIR1298,miRNA,chrX,+,1
MIR548I1,miRNA,chr3,-,1
MIR1203,miRNA,chr17,-,1
MIR1197,miRNA,chr14,+,1
MIR1273A,miRNA,chr8,-,1
MIR1260A,miRNA,chr14,+,1
MIR548J,miRNA,chr22,-,1
MIR1289-1,miRNA,chr20,-,1
MIR1302-7,miRNA,chr8,-,1
MIR1205,miRNA,chr8,+,1
MIR548F2,miRNA,chr2,-,1
MIR1183,miRNA,chr7,+,1
MIR1252,miRNA,chr12,+,1
MIR1282,miRNA,chr15,-,1
MIR548H2,miRNA,chr16,-,1
MIR1256,miRNA,chr1,-,1
MIR1915,miRNA,chr10,-,1
MIR1471,miRNA,chr2,-,1
MIR1912,miRNA,chrX,+,1
MIR1468,miRNA,chrX,-,1
MIR1911,miRNA,chrX,+,1
MIR1537,miRNA,chr1,-,1
MIR1913,miRNA,chr6,-,1
MIR1538,miRNA,chr16,-,1
MIR2113,miRNA,chr6,+,1
MIR2053,miRNA,chr8,+,1
MIR1270,miRNA,chr19,-,1
MIR1976,miRNA,chr1,+,1
MIR1972-1,miRNA,chr16,-,1
MIR500B,miRNA,chrX,+,1
MIR1972-2,miRNA,chr16,+,1
MIR449C,miRNA,chr5,-,1
MIR1343,miRNA,chr11,+,1
MIR2278,miRNA,chr9,+,1
MIR892C,miRNA,chrX,-,1
MIR2114,miRNA,chrX,+,1
MIR2115,miRNA,chr3,-,1
MIR514B,miRNA,chrX,-,1
MIR2276,miRNA,chr13,+,1
MIR2355,miRNA,chr2,-,1
MIR2116,miRNA,chr15,-,1
MIR151A,miRNA,chr8,-,1
MIR3179-2,miRNA,chr16,+,1
MIR5011,miRNA,chr18,+,1
MIR378H,miRNA,chr5,+,1
MIR5702,miRNA,chr2,-,1
MIR548AO,miRNA,chr8,-,1
MIR5584,miRNA,chr1,+,1
MIR3973,miRNA,chr11,+,1
hsa-mir-3119-1,miRNA,chr1,+,1
MIR3170,miRNA,chr13,+,1
MIR4673,miRNA,chr9,-,1
MIR4660,miRNA,chr8,+,1
MIR4747,miRNA,chr19,+,1
MIR4538,miRNA,chr14,-,1
MIR3187,miRNA,chr19,+,1
MIR3158-1,miRNA,chr10,+,1
MIR4753,miRNA,chr1,-,1
MIR4450,miRNA,chr4,+,1
MIR4532,miRNA,chr20,+,1
MIR5189,miRNA,chr16,+,1
MIR4455,miRNA,chr4,-,1
hsa-mir-3130-1,miRNA,chr2,+,1
MIR3156-1,miRNA,chr10,+,1
MIR4497,miRNA,chr12,+,1
MIR5699,miRNA,chr10,-,1
MIR4311,miRNA,chr15,+,1
MIR3668,miRNA,chr6,+,1
MIR548AN,miRNA,chrX,+,1
MIR378G,miRNA,chr1,-,1
MIR4526,miRNA,chr18,+,1
MIR4463,miRNA,chr6,+,1
MIR5582,miRNA,chr11,-,1
MIR4704,miRNA,chr13,+,1
MIR7853,miRNA,chr6,-,1
MIR4270,miRNA,chr3,-,1
MIR4665,miRNA,chr9,+,1
MIR548X2,miRNA,chr13,-,1
MIR4522,miRNA,chr17,-,1
MIR4480,miRNA,chr10,+,1
MIR4804,miRNA,chr5,+,1
MIR3936,miRNA,chr5,-,1
MIR3915,miRNA,chrX,-,1
MIR3185,miRNA,chr17,-,1
MIR4306,miRNA,chr13,+,1
MIR3155A,miRNA,chr10,+,1
MIR5586,miRNA,chr14,-,1
MIR378D1,miRNA,chr4,-,1
MIR3919,miRNA,chr3,+,1
MIR4777,miRNA,chr2,+,1
MIR4802,miRNA,chr4,-,1
MIR4515,miRNA,chr15,+,1
MIR3135B,miRNA,chr6,-,1
MIR548AX,miRNA,chrX,-,1
MIR4457,miRNA,chr5,-,1
MIR5581,miRNA,chr1,-,1
MIR4632,miRNA,chr1,+,1
MIR3197,miRNA,chr21,+,1
MIR548D2,miRNA,chr17,-,1
MIR3161,miRNA,chr11,+,1
MIR3621,miRNA,chr9,-,1
MIR5689,miRNA,chr6,+,1
MIR4639,miRNA,chr6,+,1
MIR3937,miRNA,chrX,+,1
MIR4643,miRNA,chr6,+,1
MIR4662B,miRNA,chr8,-,1
MIR548AS,miRNA,chr13,+,1
MIR3165,miRNA,chr11,-,1
MIR3664,miRNA,chr11,-,1
MIR4277,miRNA,chr5,-,1
MIR548AV,miRNA,chr18,-,1
MIR3133,miRNA,chr2,+,1
MIR4286,miRNA,chr8,+,1
MIR3686,miRNA,chr8,-,1
MIR5590,miRNA,chr2,+,1
MIR3182,miRNA,chr16,+,1
MIR4473,miRNA,chr9,-,1
MIR3115,miRNA,chr1,+,1
MIR5100,miRNA,chr10,+,1
MIR5684,miRNA,chr19,+,1
MIR3675,miRNA,chr1,-,1
MIR3679,miRNA,chr2,+,1
MIR548AW,miRNA,chr9,+,1
MIR4439,miRNA,chr2,-,1
MIR378E,miRNA,chr5,+,1
MIR4635,miRNA,chr5,-,1
MIR4698,miRNA,chr12,+,1
MIR4744,miRNA,chr18,-,1
MIR4729,miRNA,chr17,+,1
MIR4769,miRNA,chrX,+,1
MIR3927,miRNA,chr9,-,1
MIR4528,miRNA,chr18,+,1
MIR4436B2,miRNA,chr2,+,1
MIR3920,miRNA,chr11,-,1
MIR4303,miRNA,chr12,-,1
MIR4667,miRNA,chr9,+,1
MIR3925,miRNA,chr6,-,1
MIR4669,miRNA,chr9,+,1
MIR3116-1,miRNA,chr1,+,1
MIR5000,miRNA,chr2,+,1
MIR3670-1,miRNA,chr16,+,1
MIR4462,miRNA,chr6,-,1
MIR4448,miRNA,chr3,+,1
MIR548Y,miRNA,chr14,-,1
MIR4461,miRNA,chr5,+,1
MIR4509-3,miRNA,chr15,-,1
MIR4290,miRNA,chr9,-,1
MIR1587,miRNA,chrX,+,1
MIR4760,miRNA,chr21,-,1
MIR4499,miRNA,chr13,-,1
MIR4672,miRNA,chr9,-,1
MIR5705,miRNA,chr4,-,1
MIR5698,miRNA,chr1,-,1
MIR4717,miRNA,chr16,+,1
MIR4314,miRNA,chr17,+,1
MIR4429,miRNA,chr2,-,1
MIR3938,miRNA,chr3,-,1
MIR4253,miRNA,chr1,-,1
MIR4507,miRNA,chr14,-,1
MIR4491,miRNA,chr11,+,1
MIR4472-2,miRNA,chr12,-,1
MIR4737,miRNA,chr17,-,1
MIR5685,miRNA,chr6,+,1
MIR4316,miRNA,chr17,-,1
MIR3687-2,miRNA,chr21,+,1
MIR3943,miRNA,chr7,+,1
MIR3199-1,miRNA,chr22,-,1
MIR4783,miRNA,chr2,-,1
MIR5688,miRNA,chr3,+,1
MIR3681,miRNA,chr2,+,1
MIR4666B,miRNA,chrX,+,1
MIR4803,miRNA,chr5,+,1
MIR4689,miRNA,chr1,-,1
MIR4688,miRNA,chr11,+,1
MIR3688-1,miRNA,chr4,-,1
MIR4300,miRNA,chr11,-,1
MIR4795,miRNA,chr3,-,1
MIR3689D2,miRNA,chr9,-,1
MIR3667,miRNA,chr22,-,1
MIR3928,miRNA,chr22,-,1
MIR3127,miRNA,chr2,+,1
MIR4670,miRNA,chr9,-,1
MIR4762,miRNA,chr22,+,1
MIR3689B,miRNA,chr9,-,1
MIR4305,miRNA,chr13,-,1
MIR3189,miRNA,chr19,+,1
MIR4693,miRNA,chr11,+,1
MIR4701,miRNA,chr12,-,1
MIR4716,miRNA,chr15,-,1
MIR4492,miRNA,chr11,+,1
MIR3168,miRNA,chr13,-,1
MIR4456,miRNA,chr5,-,1
MIR3912,miRNA,chr5,-,1
MIR4322,miRNA,chr19,+,1
MIR4767,miRNA,chrX,+,1
MIR4799,miRNA,chr4,+,1
MIR4786,miRNA,chr2,-,1
MIR2467,miRNA,chr2,-,1
MIR3922,miRNA,chr12,+,1
MIR4433B,miRNA,chr2,-,1
MIR4694,miRNA,chr11,-,1
MIR548AT,miRNA,chr17,+,1
MIR4801,miRNA,chr4,-,1
MIR5186,miRNA,chr3,-,1
MIR4417,miRNA,chr1,+,1
MIR3660,miRNA,chr5,-,1
MIR4258,miRNA,chr1,+,1
MIR3134,miRNA,chr3,-,1
MIR4648,miRNA,chr7,+,1
MIR3122,miRNA,chr1,+,1
MIR3125,miRNA,chr2,+,1
MIR4425,miRNA,chr1,+,1
MIR4671,miRNA,chr1,+,1
MIR4513,miRNA,chr15,-,1
MIR5007,miRNA,chr13,+,1
MIR4465,miRNA,chr6,+,1
MIR3193,miRNA,chr20,+,1
MIR3180-5,miRNA,chr16,-,1
MIR4736,miRNA,chr17,-,1
MIR548AL,miRNA,chr11,+,1
MIR3913-1,miRNA,chr12,-,1
MIR548AP,miRNA,chr15,+,1
MIR4470,miRNA,chr8,+,1
MIR548AC,miRNA,chr1,-,1
MIR4653,miRNA,chr7,+,1
MIR4283-1,miRNA,chr7,-,1
MIR3183,miRNA,chr17,-,1
MIR3648-2,miRNA,chr21,+,1
MIR4520-1,miRNA,chr17,-,1
MIR4794,miRNA,chr1,+,1
MIR4656,miRNA,chr7,-,1
MIR5682,miRNA,chr3,+,1
MIR4714,miRNA,chr15,+,1
MIR4705,miRNA,chr13,-,1
MIR5008,miRNA,chr1,-,1
MIR4298,miRNA,chr11,-,1
MIR4650-2,miRNA,chr7,+,1
MIR3124,miRNA,chr1,+,1
MIR3678,miRNA,chr17,+,1
MIR5692A2,miRNA,chr8,+,1
MIR4778,miRNA,chr2,-,1
MIR378B,miRNA,chr3,+,1
MIR5706,miRNA,chr5,+,1
MIR548AR,miRNA,chr13,+,1
MIR4257,miRNA,chr1,+,1
MIR3162,miRNA,chr11,-,1
MIR4633,miRNA,chr5,+,1
MIR23C,miRNA,chrX,-,1
MIR4529,miRNA,chr18,+,1
MIR4296,miRNA,chr10,-,1
MIR1254-2,miRNA,chr10,+,1
MIR5692B,miRNA,chr21,-,1
MIR4487,miRNA,chr11,+,1
MIR4449,miRNA,chr4,+,1
MIR3159,miRNA,chr11,+,1
MIR3173,miRNA,chr14,-,1
MIR4685,miRNA,chr10,-,1
MIR5588,miRNA,chr3,-,1
MIR4755,miRNA,chr20,+,1
MIR5591,miRNA,chr4,+,1
MIR4796,miRNA,chr3,-,1
MIR4271,miRNA,chr3,+,1
MIR3152,miRNA,chr9,+,1
MIR5194,miRNA,chr8,-,1
MIR3171,miRNA,chr14,-,1
MIR4798,miRNA,chr4,+,1
MIR3200,miRNA,chr22,+,1
MIR4285,miRNA,chr7,+,1
MIR3140,miRNA,chr4,-,1
MIR4773-1,miRNA,chr2,+,1
MIR4255,miRNA,chr1,+,1
MIR4752,miRNA,chr19,+,1
MIR4504,miRNA,chr14,-,1
MIR3117,miRNA,chr1,+,1
MIR3670-2,miRNA,chr16,+,1
MIR3129,miRNA,chr2,-,1
MIR4638,miRNA,chr5,-,1
MIR4718,miRNA,chr16,+,1
MIR4511,miRNA,chr15,-,1
MIR4505,miRNA,chr14,+,1
MIR3689C,miRNA,chr9,-,1
MIR3924,miRNA,chr10,-,1
MIR3131,miRNA,chr2,-,1
MIR3198-1,miRNA,chr22,-,1
MIR3141,miRNA,chr5,-,1
MIR4295,miRNA,chr10,+,1
MIR4772,miRNA,chr2,+,1
MIR4420,miRNA,chr1,-,1
MIR4537,miRNA,chr14,-,1
MIR3148,miRNA,chr8,-,1
MIR4637,miRNA,chr5,-,1
MIR4771-1,miRNA,chr2,+,1
MIR5009,miRNA,chr15,-,1
MIR4294,miRNA,chr10,-,1
MIR5191,miRNA,chr1,+,1
MIR378C,miRNA,chr10,-,1
MIR4441,miRNA,chr2,-,1
MIR1273C,miRNA,chr6,+,1
MIR3154,miRNA,chr9,-,1
MIR5571,miRNA,chr22,+,1
MIR1273F,miRNA,chr1,+,1
MIR4310,miRNA,chr15,-,1
MIR5696,miRNA,chr2,+,1
MIR3613,miRNA,chr13,-,1
MIR1273D,miRNA,chr1,+,1
MIR3921,miRNA,chr3,-,1
MIR3616,miRNA,chr20,+,1
MIR5701-3,miRNA,chr15,+,1
MIR4494,miRNA,chr12,-,1
MIR4540,miRNA,chr9,-,1
MIR378F,miRNA,chr1,+,1
MIR3138,miRNA,chr4,-,1
MIR4265,miRNA,chr2,-,1
MIR4474,miRNA,chr9,-,1
MIR3181,miRNA,chr16,+,1
MIR4730,miRNA,chr17,+,1
MIR5094,miRNA,chr15,-,1
MIR4789,miRNA,chr3,+,1
MIR4431,miRNA,chr2,-,1
MIR4436B1,miRNA,chr2,-,1
MIR5691,miRNA,chr11,-,1
MIR5092,miRNA,chr3,-,1
MIR5089,miRNA,chr17,+,1
MIR4780,miRNA,chr2,-,1
MIR548W,miRNA,chr16,+,1
MIR4327,miRNA,chr21,-,1
MIR3160-1,miRNA,chr11,-,1
MIR4792,miRNA,chr3,-,1
MIR1273E,miRNA,chr17,-,1
MIR548S,miRNA,chr2,+,1
MIR4765,miRNA,chr2,+,1
MIR4419B,miRNA,chr12,+,1
MIR4692,miRNA,chr11,+,1
MIR3622B,miRNA,chr8,-,1
MIR3691,miRNA,chr6,-,1
MIR4655,miRNA,chr7,-,1
MIR4484,miRNA,chr10,+,1
MIR4510,miRNA,chr15,+,1
MIR3942,miRNA,chr15,-,1
MIR4731,miRNA,chr17,-,1
MIR3153,miRNA,chr9,+,1
MIR3190,miRNA,chr19,+,1
MIR5687,miRNA,chr5,-,1
MIR3192,miRNA,chr20,+,1
MIR4301,miRNA,chr11,-,1
MIR548AM,miRNA,chrX,-,1
MIR151B,miRNA,chr14,-,1
MIR5003,miRNA,chr5,+,1
MIR2681,miRNA,chr13,-,1
MIR4307,miRNA,chr14,+,1
MIR4262,miRNA,chr2,-,1
MIR3202-1,miRNA,chrX,+,1
MIR4728,miRNA,chr17,+,1
MIR4790,miRNA,chr3,-,1
MIR4674,miRNA,chr9,-,1
MIR3923,miRNA,chr3,+,1
MIR4312,miRNA,chr15,-,1
MIR4677,miRNA,chr1,+,1
MIR4486,miRNA,chr11,+,1
MIR3684,miRNA,chr4,+,1
MIR4283-2,miRNA,chr7,+,1
MIR4269,miRNA,chr2,+,1
MIR548AI,miRNA,chr6,+,1
MIR4699,miRNA,chr12,+,1
MIR3142,miRNA,chr5,+,1
MIR4472-1,miRNA,chr8,+,1
MIR4288,miRNA,chr8,-,1
MIR3132,miRNA,chr2,-,1
MIR4446,miRNA,chr3,+,1
MIR4686,miRNA,chr11,+,1
MIR3935,miRNA,chr16,+,1
MIR4770,miRNA,chrX,-,1
MIR4710,miRNA,chr14,-,1
MIR548AD,miRNA,chr2,+,1
MIR3650,miRNA,chr5,-,1
MIR3195,miRNA,chr20,+,1
MIR4263,miRNA,chr2,+,1
MIR3118-2,miRNA,chr15,+,1
MIR548AB,miRNA,chr3,-,1
MIR4524B,miRNA,chr17,+,1
MIR3137,miRNA,chr3,-,1
MIR5188,miRNA,chr12,+,1
MIR4291,miRNA,chr9,+,1
MIR3136,miRNA,chr3,-,1
MIR4493,miRNA,chr11,-,1
MIR4476,miRNA,chr9,-,1
MIR4682,miRNA,chr10,+,1
MIR4675,miRNA,chr10,+,1
MIR4679-2,miRNA,chr10,-,1
MIR466,miRNA,chr3,-,1
MIR4999,miRNA,chr19,-,1
MIR4252,miRNA,chr1,-,1
MIR3944,miRNA,chr10,-,1
MIR3128,miRNA,chr2,-,1
MIR4324,miRNA,chr19,-,1
MIR4261,miRNA,chr2,-,1
